x,y,label,source
-1.57090624754527,-2.83936922955143,waterbekkens,cht
-3.39254582067166,-2.14213846192337,jachtgeweren,cht
-3.70530148940937,-2.21340117113999,naven,cht
-0.679125129362247,-3.06153694527249,gaffelbokken,cht
-4.31149549191605,-2.90098191170287,steunberen,cht
-4.73998517956871,1.55082067386356,kleurstoffen,cht
-3.57259719740138,-2.38431251986866,schijfremmen,cht
-1.20446756032654,-2.11623864211851,uitspanningen,cht
-4.3093911929876,-3.0406697522289,gewelven,cht
-0.319889746958086,0.538167087781557,propagandafilms,cht
0.938880649260711,-1.2488530889997,kaartenmakers,cht
-2.00665518638832,-2.37444575186553,verkeer,cht
-1.3070349966855,-2.18077012565839,kuuroorden,cht
2.07758337787411,2.37507379781822,mycena,cht
-4.23666025623096,-1.17425976366232,vingerringen,cht
